ifi_id,object_type,object_id,tag_type,tag_value,created_at,updated_at,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
140793,ledger,3715501910209054676,accountLifecycleStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""NEW"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,administrativeStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""NORMAL"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,accountClosureStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""OPEN"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,balanceStatus,LEVEL_1,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""ZERO_BALANCE"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,dormancyStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""NOT_DORMANT"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,membershipType,REGULAR,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,manualNPAStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""REGULAR"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,manualChargeOffStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""REGULAR"",""tagTypeCode"":""classification""}",,
140793,ledger,3715501910209054676,secondaryNPAStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1679306108000,"{""name"":""REGULAR"",""tagTypeCode"":""classification"",""assetClassificationSecondary"":""STANDARD""}",,
140793,ledger,3715501910209054676,billingCycleId,2806220866544404965,2023-03-20 08:46:51.749932+00:00,2023-04-04 13:48:30.246601+00:00,1680620460000,"{""firstDueDate"":""1588876199999"",""lastBillingAt"":""1589394600000"",""firstGraceDate"":""1588962599999"",""firstStatementDate"":""1588789799999""}",,
140793,ledger,3715501910209054676,assetClassificationType,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-04-05 09:44:16.452574+00:00,1681136896000,"{""name"":""STANDARD"",""tagTypeCode"":""classification"",""firstNPADate"":""2020-05-07""}",,
140793,ledger,3715501910209054676,autoChargeOffStatus,LEVEL_0,2023-03-20 08:46:51.749932+00:00,2023-03-20 08:46:51.749932+00:00,1682101242000,"{""name"":""REGULAR"",""tagTypeCode"":""classification""}",,
