id,ifi_id,name,coa_id,coa_node_id,created_at,modified_at,product_family_id,type,code,state,aura_account_group_id,description,_load_ts_ms,cdc_source_ts_ms,attributes,cdc_op,product_code
1123001503059963626,233862,GIFT_PRODUCT_pN5524U,7266887274957374659,8632271233769755372,2022-01-25 00:34:26.919000,2022-01-25 00:34:26.919000,5870236026523433918,ACCOUNT_BASED,GIFT,ENABLED,3047853590384450266,,1681123732000,,{},,
3890249265002030070,233862,GIFT_PRODUCT_rlLqd6v,7266887274957374659,8359228545367754587,2022-01-25 02:23:11.277000,2022-01-25 02:23:11.277000,4031699365348268524,ACCOUNT_BASED,GIFT,ENABLED,786559177629460781,,1681123732000,,{},,
6059127495465298124,140793,SmartEMI_1643094973007,2300517767810633251,6209481645825889216,2022-01-25 07:16:14.064000,2022-01-25 07:16:14.064000,4945359234519971262,ACCOUNT_BASED,SMARTEMI_1643094973008,ENABLED,5799573277897087926,,1681123732000,,{},,
6069943015637783208,233862,GIFT_PRODUCT_YgWBD3q,7266887274957374659,6947740448879408543,2022-01-25 09:08:14.800000,2022-01-25 09:08:14.800000,5139207566294734678,ACCOUNT_BASED,GIFT,ENABLED,4559455718618038017,,1681123732000,,{},,
8662550268267945535,233862,GIFT_PRODUCT_3TYlF5Z,7266887274957374659,7337811221568036236,2022-01-25 10:41:48.599000,2022-01-25 10:41:48.599000,1877163988874263731,ACCOUNT_BASED,GIFT,ENABLED,9207677898060888767,,1681123732000,,{},,
1840321409251403148,140793,HDFC Credit Card,3680176269506857800,5622981122800198166,2022-01-25 13:25:42.441000,2022-01-25 13:25:42.441000,3040717296357290887,ACCOUNT_BASED,HDFCCreditCard_JOBRUN015,ENABLED,2825603195280167800,ProductDesc,1681123732000,,{},,
222084511842007998,233862,GIFT_PRODUCT_RtCkXBq,7266887274957374659,8468897075390992534,2022-01-25 17:04:01.013000,2022-01-25 17:04:01.013000,5330154599892884408,ACCOUNT_BASED,GIFT,ENABLED,6556488608611034796,,1681123732000,,{},,
6923557975015380361,233862,GIFT_PRODUCT_wiW2acM,7266887274957374659,2511849109849816864,2022-01-25 18:08:12.993000,2022-01-25 18:08:12.993000,7567330016770927203,ACCOUNT_BASED,GIFT,ENABLED,1375829899784946635,,1681123732000,,{},,
1321651676686013808,233862,GIFT_PRODUCT_iEWwoqy,7266887274957374659,7232070497817676815,2022-01-25 20:32:54.285000,2022-01-25 20:32:54.285000,635954995699099649,ACCOUNT_BASED,GIFT,ENABLED,3042843183861167489,,1681123732000,,{},,
8085745287572733558,233862,GIFT_PRODUCT_x6uL9eR,7266887274957374659,285622417685227947,2022-01-26 01:42:41.589000,2022-01-26 01:42:41.589000,5784169798624644983,ACCOUNT_BASED,GIFT,ENABLED,6520723513439882534,,1681123732000,,{},,
674170194172500964,233862,GIFT_PRODUCT_i03Ek5X,7266887274957374659,8314783332459520909,2022-01-26 03:50:48.466000,2022-01-26 03:50:48.466000,835997407134455061,ACCOUNT_BASED,GIFT,ENABLED,3186520724481432125,,1681123732000,,{},,
5911735354450719041,140793,HDFC Credit Card,2787090639608677418,2308374285223697707,2022-01-26 12:59:26.718000,2022-01-26 12:59:26.718000,4440269625745685117,ACCOUNT_BASED,HDFCCreditCard_JOBRUN017,ENABLED,8631929410971227356,ProductDesc,1681123732000,,{},,
5368427895892456388,140793,HDFC Credit Card,5217363059012312379,8993074339886057696,2022-01-26 16:58:08.585000,2022-01-26 16:58:08.585000,3283766820605014375,ACCOUNT_BASED,HDFCCreditCard_JOBRUN019,ENABLED,3510269675328112649,ProductDesc,1681123732000,,{},,
621654326436988873,140793,SmartEMI_1643216289432,5217363059012312379,814433058144068084,2022-01-26 16:58:09.655000,2022-01-26 16:58:09.655000,2634525906061144049,ACCOUNT_BASED,SMARTEMI_1643216289432,ENABLED,944541770001302464,,1681123732000,,{},,
6429794860614440519,140793,HDFC Credit Card,6597705557272930374,5392147831393988713,2022-01-26 17:06:53.200000,2022-01-26 17:06:53.200000,4121064660653846334,ACCOUNT_BASED,HDFCCreditCard_JOBRUN020,ENABLED,8230076250778287232,ProductDesc,1681123732000,,{},,
8897164403229065719,233862,GIFT_PRODUCT_33ah7Lj,7266887274957374659,3797448321843624055,2022-01-26 17:07:35.622000,2022-01-26 17:07:35.622000,5733091196339991300,ACCOUNT_BASED,GIFT,ENABLED,965229974469269660,,1681123732000,,{},,
8689593622794344079,140793,HDFC Credit Card,1313132335523771924,6469540894111429540,2022-01-26 17:13:02.715000,2022-01-26 17:13:02.715000,7047987760895098987,ACCOUNT_BASED,HDFCCreditCard_JOBRUN021,ENABLED,3682941227393643949,ProductDesc,1681123732000,,{},,
7948991752898064510,140793,HDFC Credit Card,4038615873857901983,8285037559529060122,2022-01-26 17:24:42.980000,2022-01-26 17:24:42.980000,287834369407621781,ACCOUNT_BASED,HDFCCreditCard_JOBRUN023,ENABLED,3535181015467808767,ProductDesc,1681123732000,,{},,
2851970600226151459,140793,HDFC Credit Card,6521105074896334791,6822332238342097849,2022-01-26 17:46:49.676000,2022-01-26 17:46:49.676000,7055183887520014715,ACCOUNT_BASED,HDFCCreditCard_JOBRUN024,ENABLED,1459444949511464847,ProductDesc,1681123732000,,{},,
6788033994342695187,140793,SmartEMI_1643219210011,6521105074896334791,4643267670063560088,2022-01-26 17:46:50.221000,2022-01-26 17:46:50.221000,7069637428998005771,ACCOUNT_BASED,SMARTEMI_1643219210011,ENABLED,6798358745765438321,,1681123732000,,{},,
1607925093112487937,233862,GIFT_PRODUCT_XXNPGg6,7266887274957374659,5565396613794402734,2022-01-26 18:14:10.358000,2022-01-26 18:14:10.358000,1202177094279657051,ACCOUNT_BASED,GIFT,ENABLED,4015409057221173815,,1681123732000,,{},,
