id,tenant_id,code,name,object_type,description,classification_model_id,parent_classification_unit_id,icon,info_uri,attributes,updated_by,deleted,created_at,updated_at,restricted_action_codes,_load_ts_ms,cdc_source_ts_ms,cdc_op
1653,600309,LEVEL_0,REGULAR,in.zeta.ruby.classification.membershipType,REGULAR,433,,https://icon.yuko,https://info.com,{},rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/259,False,2023-06-05 06:57:36.919137+00:00,2023-08-07 11:18:36.281733+00:00,[],1691407375000,1691407116281,
1657,600309,good-standing-true,good-standing-true,in.zeta.ruby.classification.GOOD_STANDING,good-standing-true,439,,https://icon.yuko,https://info.com,{},rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/259,False,2023-06-05 07:17:58.284467+00:00,2023-08-07 11:18:37.130326+00:00,[],1691407375000,1691407117130,
1572,600309,true,true,in.zeta.mars.AccountHolder,Description,407,,https://icon.yuko,https://info.com,"{""key1"":""key1=value1"",""key2"":""key2=value2""}",YU3G1zW5tFzU70aSS8E1DQ==@authProfile.600309-admin.India/3,False,2023-05-26 19:19:21.288674+00:00,2023-10-04 12:20:14.455167+00:00,[],1696422337000,1696422014456,
1604,600217,LEVEL_1,TEMP_BLOCK,in.zeta.ruby.classification.Account,TEMP_BLOCK,425,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:19.187373+00:00,2023-10-10 09:17:39.616066+00:00,[],1696929890000,1696929459617,
1640,600217,LEVEL_3,LEVEL_3,in.zeta.ruby.classification.Dormancy,LEVEL_3,422,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:21.982465+00:00,2023-10-10 09:17:39.718153+00:00,[],1696929890000,1696929459718,
1643,600217,false,good-standing-false,in.zeta.ruby.classification.GOOD_STANDING,good-standing-false,420,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:22.232323+00:00,2023-10-10 09:17:39.827799+00:00,[],1696929890000,1696929459828,
1810,600217,LEVEL_2,FINAL_CHARGEOFF,in.zeta.ruby.classification.Account,System marked as FINAL_CHARGEOFF,462,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:22.021322+00:00,2023-10-10 09:17:39.928309+00:00,[],1696929890000,1696929459928,
1611,600217,LEVEL_1,ACTIVE,in.zeta.ruby.classification.Account,ACTIVE,427,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:19.769024+00:00,2023-10-10 09:17:40.198705+00:00,[],1696929890000,1696929460198,
1614,600217,LEVEL_3,DELINQUENT,in.zeta.ruby.classification.Account,DELINQUENT,427,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:19.970583+00:00,2023-10-10 09:17:40.306275+00:00,[],1696929890000,1696929460306,
1618,600217,LEVEL_0,NORMAL,in.zeta.ruby.classification.Administrative,NORMAL,426,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:20.279978+00:00,2023-10-10 09:17:40.811194+00:00,[],1696929890000,1696929460811,
1624,600217,LEVEL_3,DEBIT_BALANCE_HIGH,in.zeta.ruby.classification.Balance,DEBIT_BALANCE_HIGH,424,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:20.780740+00:00,2023-10-10 09:17:40.945566+00:00,[],1696929890000,1696929460945,
1626,600217,LEVEL_1,ZERO_BALANCE,in.zeta.ruby.classification.Balance,ZERO_BALANCE,424,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:20.942994+00:00,2023-10-10 09:17:41.093205+00:00,[],1696929890000,1696929461093,
1891,600217,LEVEL_0,STANDARD,in.zeta.ruby.classification.Account,Standard,468,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:36.597404+00:00,2023-10-10 09:17:41.095456+00:00,[],1696929890000,1696929461095,
1896,600217,LEVEL_1,SUB_STANDARD,in.zeta.ruby.classification.Account,SUB_STANDARD,468,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:37.122297+00:00,2023-10-10 09:17:41.194668+00:00,[],1696929890000,1696929461194,
1860,600217,LEVEL_3,DOUBTFUL_2,in.zeta.ruby.classification.Account,DOUBTFUL_2,468,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:31.718020+00:00,2023-10-10 09:17:41.196717+00:00,[],1696929890000,1696929461197,
1632,600217,LEVEL_5,4-CYCLE,in.zeta.ruby.classification.Delinquency,4-CYCLE,406,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:21.365716+00:00,2023-10-10 09:17:41.606769+00:00,[],1696929890000,1696929461606,
1847,600217,LEVEL_1,DO_NOT_REPORT,in.zeta.ruby.classification.Account,DO_NOT_REPORT,466,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:29.543746+00:00,2023-10-10 09:17:41.794727+00:00,[],1696929890000,1696929461794,
1816,600217,LEVEL_0,REPORT,in.zeta.ruby.classification.Account,REPORT,466,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:22.321577+00:00,2023-10-10 09:17:41.910346+00:00,[],1696929890000,1696929461910,
1803,600217,LEVEL_2,REVIEW_AND_REPORT,in.zeta.ruby.classification.Account,REVIEW_AND_REPORT,466,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:21.739352+00:00,2023-10-10 09:17:41.912070+00:00,[],1696929890000,1696929461912,
1905,600217,LEVEL_2,FINAL_CHARGEOFF,in.zeta.ruby.classification.Account,Manual marked as FINAL_CHARGEOFF,470,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 08:47:37.723044+00:00,2023-10-10 09:17:42.108359+00:00,[],1696929890000,1696929462108,
1787,600217,LEVEL_2,NPA,in.zeta.ruby.classification.Account,System marked the ledger as npa,460,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-14 06:48:07.019680+00:00,2023-10-10 09:17:42.205758+00:00,[],1696929890000,1696929462205,
1617,600217,LEVEL_6,WRITE-OFF,in.zeta.ruby.classification.Account,WRITE-OFF,427,,https://icon.yuko,https://info.com,{},mNQLkNyvT2wJsITceJrnpA==@authProfile.600217-admin.India/178,False,2023-06-01 14:26:20.227820+00:00,2023-10-10 09:18:29.051822+00:00,[],1696930081000,1696929509051,
2507,151613,testBlockCode,test bundle status - testBlockCode,in.zeta.aether.bundle,Test bundle status - J,275,,https://icon.yuko,https://info.com,"{""graceDays"":""graceDays=3.0"",""isPermanent"":""isPermanent=false""}",8Klm87TWz-9VT_IkQXkH8Q==@authProfile.600217-admin.India/1035,False,2023-05-03 17:59:34.855000+00:00,2023-11-01 08:28:59.364600+00:00,"[""ALL_CUSTOMER_TRANSACTION""]",1698827617000,1698827339367,
1710,140793,D1,DECEASED,in.zeta.aether.bundle,DECEASED,272,,https://icon.yuko,https://info.com,"{""priority"":""73"",""graceDays"":""0"",""isPermanent"":""false""}",35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/31,False,2023-06-10 03:31:13.647817+00:00,2023-11-09 16:51:40.919897+00:00,"[""JOINING_FEE"",""OVERLIMIT_FEE"",""REWARDS_REDEEM_CREATE"",""CARD_CASH_PLACE_HOLD"",""LATE_PAYMENT_FEE"",""CARD_REPLACEMENT"",""LIMIT_INCREASE"",""REPLACE_CARD"",""REISSUE_CARD"",""RENEW_CARD"",""ANNUAL_FEE"",""INTEREST_LIQUIDATION"",""BILLING_CYCLE_UPDATE"",""EMI_CONVERSION"",""CARD_PURCHASE_PLACE_HOLD"",""MANUAL_INTEREST_LEVY""]",1699549141000,1699548700920,
1669,600309,LEVEL_0,NOT_DORMANT,in.zeta.ruby.classification.Dormancy,NOT_DORMANT,441,,https://icon.yuko,https://info.com,{},rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/466,False,2023-06-06 09:34:06.227988+00:00,2023-12-04 04:37:04.450469+00:00,[],1701666010000,1701664624450,u
1659,600309,LEVEL_2,LEVEL_2,in.zeta.ruby.classification.Dormancy,LEVEL_2,441,,https://icon.yuko,https://info.com,{},rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/466,False,2023-06-05 07:17:58.298141+00:00,2023-12-04 04:37:04.484284+00:00,[],1701666010000,1701664624484,u
1744,600309,LEVEL_1,NPA,in.zeta.ruby.classification.Account,Secondary account marked as npa,447,,https://icon.yuko,https://info.com,"{""isPermanant"":""false""}",rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/466,False,2023-06-10 08:29:47.554995+00:00,2023-12-04 04:37:04.503147+00:00,[],1701666010000,1701664624503,u
1664,600309,LEVEL_0,NORMAL,in.zeta.ruby.classification.Administrative,NORMAL,438,,https://icon.yuko,https://info.com,{},rZ-62HHTqQWNX7wqir8iMA==@authProfile.600309-admin.India/466,False,2023-06-06 09:34:05.936848+00:00,2023-12-04 04:37:05.817649+00:00,[],1701666010000,1701664625817,u
