account_group_id,attribute_key,attribute_value,created_at,modified_at,_load_ts_ms,cdc_source_ts_ms,cdc_op
3356011297529734979,account.pd-id,6178734290235544095,2021-09-23 12:02:26.940000,2021-09-23 12:02:26.940000,1687936079000,1687769814528,
777682485470762845,account.pd-id,4094000244592131548,2021-10-02 16:09:15.315000,2021-10-02 16:09:15.315000,1687936079000,1687769814511,
1268429396731813861,account.pd-id,7865696457726384619,2021-10-03 05:40:43.833000,2021-10-03 05:40:43.833000,1687936079000,1687769814515,
8198860153714482044,account.pf-id,3448145937420221654,2021-10-03 16:16:59.959000,2021-10-03 16:16:59.959000,1687936079000,1687769814588,
7947272192202293086,account.pd-id,435137517874323993,2021-10-03 16:20:14.480000,2021-10-03 16:20:14.480000,1687936079000,1687769814587,
4611880316770013479,account.provider,ruby,2021-10-04 06:58:39.335000,2021-10-04 06:58:39.335000,1687936079000,1687769814548,
6217568027579532735,account.provider,ruby,2021-10-04 07:07:46.560000,2021-10-04 07:07:46.560000,1687936079000,1687769814559,
5974539484720511791,account.provider,ruby,2021-10-04 07:10:30.561000,2021-10-04 07:10:30.561000,1687936079000,1687769814557,
7523255209788955267,account.pf-id,868882899943516349,2021-10-04 08:23:00.879000,2021-10-04 08:23:00.879000,1687936079000,1687769814569,
849746897759071067,account.pd-id,1683010215313818563,2021-10-04 14:17:31.176000,2021-10-04 14:17:31.176000,1687936079000,1687769814512,
1334183229535554335,account.pd-id,7498229282968799829,2021-10-08 09:47:30.236000,2021-10-08 09:47:30.236000,1687936079000,1687769814515,
4433693720593533529,account.pd-id,4179953252019167223,2021-10-08 11:30:02.034000,2021-10-08 11:30:02.034000,1687936079000,1687769814547,
1548065424681372065,account.pd-id,1364895446613278788,2021-10-14 12:40:33.761000,2021-10-14 12:40:33.761000,1687936079000,1687769814516,
3083980000100064343,account.pf-id,558731570586644109,2021-10-14 13:35:21.890000,2021-10-14 13:35:21.890000,1687936079000,1687769814526,
1523706175340769031,account.provider,ruby,2021-10-21 05:10:18.516000,2021-10-21 05:10:18.516000,1687936079000,1687769814516,
3612440712905997875,account.provider,ruby,2021-10-21 05:14:55.485000,2021-10-21 05:14:55.485000,1687936079000,1687769814529,
4726481461511888806,account.pd-id,3349980409087624286,2021-11-09 11:51:53.414000,2021-11-09 11:51:53.414000,1687936079000,1687769814549,
2431247984140704712,account.provider,ruby,2021-11-15 09:31:24.093000,2021-11-15 09:31:24.093000,1687936079000,1687769814522,
6936455221876924918,account.pf-id,3066322962138171804,2021-11-15 09:32:00.095000,2021-11-15 09:32:00.095000,1687936079000,1687769814564,
9131506274034234151,account.pd-id,1034702362011375354,2021-11-15 09:32:02.229000,2021-11-15 09:32:02.229000,1687936079000,1687769814601,
2107848409496574771,account.pd-id,1583821584014051653,2021-11-15 10:32:56.863000,2021-11-15 10:32:56.863000,1687936079000,1687769814520,
6639870314678001750,account.pd-id,7011264014209357627,2021-11-15 12:57:53.806000,2021-11-15 12:57:53.806000,1687936079000,1687769814562,
7529833729390127057,account.pf-id,1782872917217821523,2021-11-15 12:57:55.710000,2021-11-15 12:57:55.710000,1687936079000,1687769814569,
3262927898878765990,account.pd-id,3835412569154384839,2021-11-15 14:18:29.014000,2021-11-15 14:18:29.014000,1687936079000,1687769814527,
238114292527705090,account.pf-id,8486478421030114175,2021-11-15 14:23:59.143000,2021-11-15 14:23:59.143000,1687936079000,1687769814508,
5446729425927933709,account.pf-id,6924668344953849186,2021-11-16 06:26:43.219000,2021-11-16 06:26:43.219000,1687936079000,1687769814554,
4203154985034424886,account.pf-id,3643990316680036857,2021-11-18 11:39:21.924000,2021-11-18 11:39:21.924000,1687936079000,1687769814533,
3069286018682828795,account.provider,ruby,2021-11-20 08:49:36.495000,2021-11-20 08:49:36.495000,1687936079000,1687769814526,
6310029415937651568,account.pd-id,2335560234582809078,2021-11-20 09:04:13.034000,2021-11-20 09:04:13.034000,1687936079000,1687769814560,
4141320240021686869,account.pf-id,4900754055953239610,2021-11-20 09:33:44.301000,2021-11-20 09:33:44.301000,1687936079000,1687769814533,
