ifi_id,account_holder_id,employment_status,employer_name,firm_name,occupation_type,department,designation,created_at,modified_at,_load_ts_ms,cdc_source_ts_ms,attributes,cdc_op
600309,da00704b-8107-4e74-b65a-2dc89042e9f5,Housewife,,,Hospitality,,,2023-09-27 06:36:50.417000,2023-09-27 06:36:50.417000,1695796909000,1695796610531,"""null""",
600309,005c4d11-cbbd-4344-b9d1-a2339d4c1dbf,Housewife,,,Hospitality,,,2023-09-27 07:26:14.327000,2023-09-27 07:26:14.327000,1695799893000,1695799574346,"""null""",
600309,1fbdf459-428d-43fd-a7a4-ed64c0a91b73,Housewife,,,Hospitality,,,2023-09-27 07:29:32.702000,2023-09-27 07:29:32.702000,1695800109000,1695799772732,"""null""",
600309,d9c41003-396b-4039-a762-0992636d11c6,Housewife,,,Hospitality,,,2023-09-29 04:49:30.768000,2023-09-29 04:49:30.768000,1695963281000,1695962970790,"""null""",
140793,33aaf81a-a85a-4594-8c80-63b0b04336c0,Full time,,,Hospitality,,,2023-01-20 10:52:29.024000,2023-01-20 10:52:29.024000,1681491042000,,,
600309,47fb563d-fb88-4d6a-a8d4-93780ee5e66a,Housewife,,,Hospitality,,,2023-09-27 07:23:22.128000,2023-09-27 07:23:22.128000,1695799893000,1695799402160,"""null""",
600309,9b753514-0518-44b9-b041-921f6532fa21,Housewife,,,Hospitality,,,2023-09-27 07:32:51.542000,2023-09-27 07:32:51.542000,1695800456000,1695799971656,"""null""",
600309,34948dce-ca1f-40a5-9b08-342366510c95,Housewife,,,Hospitality,,,2023-09-29 04:57:27.257000,2023-09-29 04:57:27.257000,1695963837000,1695963447288,"""null""",
140793,05f401cf-2b8a-4931-a61b-0bc7df794a60,Full time,,,Hospitality,,,2023-01-11 19:11:22.010000,2023-01-11 19:11:22.010000,1681491042000,,,
140793,605094d5-48e9-4dae-b8aa-f3029f343e81,Full time,,,Hospitality,,,2023-01-18 12:26:58.450000,2023-01-18 12:26:58.450000,1681491042000,,,
600309,01ac81f0-e349-4409-9194-86deac900c90,Housewife,,,Hospitality,,,2023-09-27 07:23:36.871000,2023-09-27 07:23:36.871000,1695799893000,1695799416905,"""null""",
600309,7d6feb65-af35-40d2-87e9-1278d5aacdf0,Housewife,,,Hospitality,,,2023-09-27 07:25:16.979000,2023-09-27 07:25:16.979000,1695799893000,1695799517008,"""null""",
600309,e387e3d0-b10a-4adb-924c-275ca6316d0a,Housewife,,,Hospitality,,,2023-09-27 07:27:11.133000,2023-09-27 07:27:11.133000,1695800109000,1695799631307,"""null""",
600309,3d17afc2-95c0-4273-91d9-1a0aeda87ee5,Housewife,,,Hospitality,,,2023-09-29 04:49:55.219000,2023-09-29 04:49:55.219000,1695963281000,1695962995288,"""null""",
600309,d9b07678-cbfe-4b8e-8a05-406522a722af,Housewife,,,Hospitality,,,2023-09-27 07:23:07.032000,2023-09-27 07:23:07.032000,1695799893000,1695799387063,"""null""",
600309,0ec891d6-0b87-4693-bca2-350196f53c3f,Housewife,,,Hospitality,,,2023-09-27 07:25:54.332000,2023-09-27 07:25:54.332000,1695799893000,1695799554438,"""null""",
600309,2d0d3a5c-56ac-4618-bd62-2bace2a46cf7,Housewife,,,Hospitality,,,2023-09-27 07:26:28.650000,2023-09-27 07:26:28.650000,1695799893000,1695799588678,"""null""",
600309,13c854bd-979b-421f-8422-577a214997d6,Housewife,,,Hospitality,,,2023-09-27 07:27:31.760000,2023-09-27 07:27:31.760000,1695800109000,1695799651814,"""null""",
