id,ifi,policy_id,version,created_at,effective_from,expires_at,_load_ts_ms,cdc_source_ts_ms,cdc_op
7664771276825478552,140793,7511304044398932689,1,2023-04-23 11:34:35.893836+00:00,2023-04-23 11:34:35.768000+00:00,2200-01-01 00:00:00+00:00,1687279893000,1687279047009,
5510145232114483435,600309,2182270707450192939,1,2023-09-27 06:37:01.700198+00:00,2023-09-27 06:37:01.627000+00:00,2200-01-01 00:00:00+00:00,1695797079000,1695796621711,
4980924322892735811,600309,2896276196918360831,1,2023-09-27 07:26:18.414497+00:00,2023-09-27 07:26:18.363000+00:00,2200-01-01 00:00:00+00:00,1695800024000,1695799578421,
2703854291389441146,600309,1309665255670004401,1,2023-09-27 07:27:16.590524+00:00,2023-09-27 07:27:16.522000+00:00,2200-01-01 00:00:00+00:00,1695800024000,1695799636599,
1008685043670730371,600309,2182270707450192939,9,2023-09-27 10:38:20.472445+00:00,2023-09-27 06:37:01.627000+00:00,2200-01-01 00:00:00+00:00,1695811328000,1695811100479,
4802149457463247257,600309,2182270707450192939,15,2023-09-27 10:38:41.859816+00:00,2023-09-27 06:37:01.627000+00:00,2200-01-01 00:00:00+00:00,1695811328000,1695811121864,
868747917050019626,600309,7397382693720339936,1,2023-09-29 04:57:41.462880+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1695964084000,1695963461467,
4954207610320739743,600309,7379334056931392291,3,2023-09-29 07:51:09.717209+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973869720,
2821711938217155702,600309,7379334056931392291,6,2023-09-29 07:51:16.036956+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973876040,
3909491514234713325,600309,7379334056931392291,8,2023-09-29 07:51:28.807311+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973888811,
513232838362460171,600309,7379334056931392291,10,2023-09-29 07:51:35.237704+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973895241,
4111582948325027906,600309,7379334056931392291,11,2023-09-29 07:51:40.476064+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973900480,
5545376609589718374,600309,7379334056931392291,14,2023-09-29 07:51:55.706998+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974135000,1695973915711,
8670686811307365982,600309,7379334056931392291,16,2023-09-29 07:52:16.463668+00:00,2023-09-29 04:49:35.235000+00:00,2200-01-01 00:00:00+00:00,1695974335000,1695973936467,
8110521683892204324,600309,854427371608545951,10,2023-09-29 07:53:04.037548+00:00,2023-09-29 04:49:59.427000+00:00,2200-01-01 00:00:00+00:00,1695974335000,1695973984041,
1877685348290812507,600309,854427371608545951,13,2023-09-29 07:53:16.806585+00:00,2023-09-29 04:49:59.427000+00:00,2200-01-01 00:00:00+00:00,1695974335000,1695973996810,
6395184495579503174,600309,7397382693720339936,2,2023-09-29 08:04:37.825206+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1695975015000,1695974677830,
5172546078950602649,600309,7397382693720339936,3,2023-09-29 08:04:43.055774+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1695975015000,1695974683070,
4604521653451301415,600309,7397382693720339936,6,2023-09-29 08:04:48.690834+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1695975015000,1695974688695,
6237870590742234239,600309,7397382693720339936,11,2023-09-29 08:05:11.932383+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1695975015000,1695974711937,
3507580323010386912,600309,7397382693720339936,18,2023-10-03 07:29:52.082072+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318425000,1696318192094,
661089767137074799,600309,7397382693720339936,25,2023-10-03 07:30:30.733905+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318619000,1696318230740,
878533839934214641,600309,7397382693720339936,28,2023-10-03 07:31:01.649828+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318619000,1696318261657,
4968012549417457695,600309,7397382693720339936,34,2023-10-03 07:31:55.554089+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318315563,
3174434282273775605,600309,7397382693720339936,39,2023-10-03 07:33:23.604301+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318403611,
7589943916037603115,600309,7397382693720339936,45,2023-10-03 07:34:51.729707+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318491741,
8977899522058535689,600309,7397382693720339936,47,2023-10-03 07:35:16.083145+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318516089,
5299764570006635476,600309,7397382693720339936,51,2023-10-03 07:36:28.723202+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318588729,
2693502080490412280,600309,7397382693720339936,52,2023-10-03 07:36:59.271993+00:00,2023-09-29 04:57:41.421000+00:00,2200-01-01 00:00:00+00:00,1696318998000,1696318619293,
