ifi_id,object_type,object_id,tag_type,tag_value,created_at,updated_at,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
140827,account-holder,6332a4c2-b18f-4902-a6f8-a9fcb3b2725a,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 06:14:24.458648+00:00,2022-01-25 06:14:24.458648+00:00,1681494932000,{},,
140827,account,df4fc30c-705a-4778-ba2a-ae2a036ed1b8,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 06:14:28.665996+00:00,2022-01-25 06:14:28.665996+00:00,1681494932000,,,
140827,account-holder,8cea92b1-a117-4aa5-89b0-e5f96e5a8164,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 07:19:14.399591+00:00,2022-01-25 07:19:14.399591+00:00,1681494932000,{},,
140827,account,0e97cfb9-bccf-4020-9c01-a1fa510cef3a,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 07:19:20.576469+00:00,2022-01-25 07:19:20.576469+00:00,1681494932000,,,
140827,account-holder,ec490e32-e6bb-4f7a-a820-36ef3789f3ca,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 08:39:09.041333+00:00,2022-01-25 08:39:09.041333+00:00,1681494932000,{},,
140827,account,db5c383c-2a16-48bc-81a5-ce8b989d7370,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 08:39:13.681869+00:00,2022-01-25 08:39:13.681869+00:00,1681494932000,,,
140827,account-holder,96b51246-875b-43e9-bb79-f4fd81f7a86c,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-25 09:02:53.040026+00:00,2022-01-25 09:02:53.040026+00:00,1681494932000,{},,
140827,account,0b26b1b0-5939-46b3-96a4-403ef82c4320,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-25 09:02:54.854803+00:00,2022-01-25 09:02:54.854803+00:00,1681494932000,,,
140827,account-holder,c078992b-7da1-4ea3-9a6a-d34a882202d2,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:20:20.417684+00:00,2022-01-25 09:20:20.417684+00:00,1681494932000,{},,
140827,account,51c933cd-fdf9-4121-a742-665ea7a8161c,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:20:22.917984+00:00,2022-01-25 09:20:22.917984+00:00,1681494932000,,,
140827,account-holder,7710e439-e257-4b9e-90c3-3fd18cad7fdf,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:29:02.025872+00:00,2022-01-25 09:29:02.025872+00:00,1681494932000,{},,
140827,account,f7b97cc0-53c1-4026-bdec-6134d3cdd35d,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:29:08.965875+00:00,2022-01-25 09:29:08.965875+00:00,1681494932000,,,
140827,account-holder,da7d0034-e821-4375-bcbe-bd8078d6587a,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:44:35.866475+00:00,2022-01-25 09:44:35.866475+00:00,1681494932000,{},,
140827,account,ee3edb8d-d17c-4a10-954e-d6ad628d0baa,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-25 09:44:42.647278+00:00,2022-01-25 09:44:42.647278+00:00,1681494932000,,,
140827,account,413b1dff-99d3-4516-91ac-f8764e2bc253,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-26 10:23:45.025001+00:00,2022-01-26 10:23:45.025001+00:00,1681494932000,,,
140827,account,51ed5a27-b87c-4d59-a22d-bfe7ed43a08e,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-26 11:29:17.080676+00:00,2022-01-26 11:29:17.080676+00:00,1681494932000,,,
140827,account,fbcd655e-4418-413b-a098-1fd3a34d061d,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-26 11:29:31.810253+00:00,2022-01-26 11:29:31.810253+00:00,1681494932000,,,
140827,account,941ce1c4-fb8f-4a3e-8df3-ccf05f40b32c,vbo-id,be7fcd33-425b-4eae-afcf-89d9d18d3f60,2022-01-26 11:30:26.158032+00:00,2022-01-26 11:30:26.158032+00:00,1681494932000,,,
140827,account-holder,ccc75264-f146-4f51-b4e0-77b73576cdd6,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-27 06:56:56.540149+00:00,2022-01-27 06:56:56.540149+00:00,1681494932000,{},,
140827,account,2b2d9da3-fff7-429c-8188-3fb7fde748cd,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-27 06:57:07.031517+00:00,2022-01-27 06:57:07.031517+00:00,1681494932000,,,
140827,account-holder,b9cc1324-1be6-487a-928b-150e0fea1f35,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-27 07:34:40.837509+00:00,2022-01-27 07:34:40.837509+00:00,1681494932000,{},,
140827,account,a5ba45ff-28d1-40a3-84e5-14703ec991f7,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-27 07:34:42.318750+00:00,2022-01-27 07:34:42.318750+00:00,1681494932000,,,
140827,account-holder,6c9afb71-3f89-4246-96d2-bb8b166fd078,vbo-id,4fa18593-d2d9-4bf3-bea7-7f6deb9f2ca4,2022-01-27 07:50:08.495359+00:00,2022-01-27 07:50:08.495359+00:00,1681494932000,{},,
