hold_id,request_id,tenant_id,coa_id,ledger_id,type,value,start_time,end_time,status,created_for_posting_id,created_at,modified_at,purpose_code,posting_info,transaction_time,_load_ts_ms,cdc_source_ts_ms,cdc_op
3c71caeb-99c4-46f2-a71a-abdcede00e9f,HoldTxn1678724470,140793,4035248022331589538,4299100338639815994,debit-hold,1000000,"""null""","""null""",RELEASED,852305,2023-03-13 16:21:14.257830+00:00,2023-03-13 16:21:14.257830+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":852305,""transactionTime"":1678724473975},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/25501889"",""postingID"":852306,""transactionTime"":1678724505636}}",,1679311565000,,
34c9e788-9a86-4243-adb5-691d6cce1246,QA_Test1678795734,140793,4035248022331589538,4811609217097046902,debit-hold,1000000,"""null""","""null""",RELEASED,499258,2023-03-14 12:08:55.483952+00:00,2023-03-14 12:08:55.483952+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/25991755"",""postingID"":499258,""transactionTime"":1678795734839},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":499259,""transactionTime"":1678795757122}}",,1679311565000,,
a09a6bfc-defc-411c-bb68-823b9f8b48fd,QA_Test1673872955,140793,2201104019684666068,1710505310430524820,debit-hold,200000,"""null""","""null""",RELEASED,574871,2023-01-16 12:42:35.690622+00:00,2023-01-16 12:42:35.690622+00:00,purchase,"{""place-hold"":{""remarks"":""Place Hold 1 Pos"",""postingID"":574871,""transactionTime"":1673872955340},""consume-hold"":{""remarks"":""Purchase clearance"",""postingID"":574872,""transactionTime"":1673872966480}}",,1679311565000,,
3f8c9025-9d2c-472f-85a0-6fe38ae77000,QA_Test1673953296,140793,2201104019684666068,1710505310430524820,debit-hold,100000,"""null""","""null""",RELEASED,574891,2023-01-17 11:01:37.721509+00:00,2023-01-17 11:01:37.721509+00:00,purchase,"{""place-hold"":{""remarks"":""Place Hold 1 Pos"",""postingID"":574891,""transactionTime"":1673953297253},""consume-hold"":{""remarks"":""Purchase clearance"",""postingID"":574892,""transactionTime"":1673953309510}}",,1679311565000,,
41fe31cb-a39a-4490-81a0-bb14c0360739,QA_Test1679632356,140793,4035248022331589538,894425648537326004,debit-hold,1000000,"""null""","""null""",RELEASED,265251,2023-03-24 04:32:38.272079+00:00,2023-03-24 04:32:38.272079+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/24991373"",""postingID"":265251,""transactionTime"":1679632358139},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":265252,""transactionTime"":1679632366072}}",,1679635647000,,
34725b51-be8c-465f-bcff-5477ee524860,QA_Test1679632281,140793,4035248022331589538,4759130438979365855,debit-hold,1000000,"""null""","""null""",ACTIVE,793193,2023-03-24 04:31:32.814089+00:00,2023-03-24 04:31:32.814089+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/25041333"",""postingID"":793193,""transactionTime"":1679632292636}}",,1679635647000,,
2b88d48d-5b92-4f94-9941-aea459254406,QA_Test1678877787,140793,4035248022331589538,4040110858554956938,debit-hold,1000000,"""null""","""null""",RELEASED,670883,2023-03-15 10:56:28.493985+00:00,2023-03-15 10:56:28.493985+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28471618"",""postingID"":670883,""transactionTime"":1678877788324},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":670884,""transactionTime"":1678877807709}}",,1679311565000,,
3df9b83a-986a-4e83-919f-3eb44f289b97,HoldTxn1678768083,140793,4035248022331589538,4515774776229596788,debit-hold,1000000,"""null""","""null""",RELEASED,601772,2023-03-14 04:28:10.345785+00:00,2023-03-14 04:28:10.345785+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":601772,""transactionTime"":1678768089848},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/24241813"",""postingID"":601773,""transactionTime"":1678768095471}}",,1679311565000,,
b6fa8ab0-77fe-4a9a-a98c-349a88e9fd18,QA_Test1678767999,140793,4035248022331589538,5380412327091594003,debit-hold,1000000,"""null""","""null""",RELEASED,917987,2023-03-14 04:26:40.474257+00:00,2023-03-14 04:26:40.474257+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28121393"",""postingID"":917987,""transactionTime"":1678767999826},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":917988,""transactionTime"":1678768014668}}",,1679311565000,,
89e273a6-a88a-49e3-a2bc-68de45b8693b,Pkg1674042866,140793,2201104019684666068,5753902685291066454,debit-hold,1000,"""null""","""null""",ACTIVE,793609,2023-01-18 11:54:28.584667+00:00,2023-01-18 11:54:28.584667+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793609,""transactionTime"":1674042868265}}",,1679311565000,,
e896d9d6-c9d5-4b98-926b-67645441a5ec,HoldTxn1679918656,140793,4035248022331589538,4040110858554956938,debit-hold,1000000,"""null""","""null""",RELEASED,670946,2023-03-27 12:04:16.852211+00:00,2023-03-27 12:04:16.852211+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":670946,""transactionTime"":1679918656697},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/25391809"",""postingID"":670947,""transactionTime"":1679918669052}}",,1679922392000,,
a9c6ed67-34a5-41c5-ad63-b0a9a1027c80,HoldTxn1679632278,140793,4035248022331589538,4759130438979365855,debit-hold,1000000,"""null""","""null""",RELEASED,793192,2023-03-24 04:31:19.629858+00:00,2023-03-24 04:31:19.629858+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":793192,""transactionTime"":1679632279492},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/23221588"",""postingID"":793194,""transactionTime"":1679632292751}}",,1679635647000,,
a3fdcf81-ac8e-4df9-9313-4487f38643ff,HoldTxn1680083914,140793,4035248022331589538,4515774776229596788,debit-hold,1000000,"""null""","""null""",RELEASED,601913,2023-03-29 09:58:36.771386+00:00,2023-03-29 09:58:36.771386+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":601913,""transactionTime"":1680083916674},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/23001650"",""postingID"":601914,""transactionTime"":1680083917820}}",,1680087254000,,
1e89e62f-3062-4293-9b32-8251bc2e04da,Pkg1674032734,140793,2201104019684666068,5753902685291066454,debit-hold,1000,"""null""","""null""",ACTIVE,793596,2023-01-18 09:05:34.877469+00:00,2023-01-18 09:05:34.877469+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793596,""transactionTime"":1674032734489}}",,1679311565000,,
abd12fcb-06e6-4078-8b5e-85868fadaea9,HoldTxn1678877699,140793,4035248022331589538,4040110858554956938,debit-hold,1000000,"""null""","""null""",RELEASED,670875,2023-03-15 10:55:00.735228+00:00,2023-03-15 10:55:00.735228+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":670875,""transactionTime"":1678877700600},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/27421303"",""postingID"":670876,""transactionTime"":1678877724763}}",,1679311565000,,
8e88c0cb-cfc7-4158-b75e-0b7a949f9301,HoldTxn1678872923,140793,4035248022331589538,3154937599461087223,debit-hold,200000,"""null""","""null""",RELEASED,351901,2023-03-15 09:35:26.965486+00:00,2023-03-15 09:35:26.965486+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":351901,""transactionTime"":1678872926403},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/23221622"",""postingID"":351902,""transactionTime"":1678872975498}}",,1679311565000,,
fc04b228-0fac-4043-a418-7ca459ca617d,QA_Test1678798613,140793,4035248022331589538,4811609217097046902,debit-hold,200000,"""null""","""null""",ACTIVE,499274,2023-03-14 12:56:55.920160+00:00,2023-03-14 12:56:55.920160+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/23411618"",""postingID"":499274,""transactionTime"":1678798615815}}",,1679311565000,,
6e52099a-4fed-4464-9615-1d6e7db97e52,QA_Test1678876200,140793,4035248022331589538,3154937599461087223,debit-hold,200000,"""null""","""null""",RELEASED,351913,2023-03-15 10:30:03.222140+00:00,2023-03-15 10:30:03.222140+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/23941796"",""postingID"":351913,""transactionTime"":1678876203090},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":351914,""transactionTime"":1678876243344}}",,1679311565000,,
811dfb84-f084-4ba7-acb0-44c5295f9485,Pkg1674035125,140793,2201104019684666068,5753902685291066454,debit-hold,1000,"""null""","""null""",ACTIVE,793606,2023-01-18 09:45:32.420996+00:00,2023-01-18 09:45:32.420996+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793606,""transactionTime"":1674035128639}}",,1679311565000,,
5207f379-b0ae-43dd-a8ae-40fa4201b480,QA_Test1678768037,140793,4035248022331589538,4214859983996377520,debit-hold,1000000,"""null""","""null""",RELEASED,894481,2023-03-14 04:27:24.168413+00:00,2023-03-14 04:27:24.168413+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28151794"",""postingID"":894481,""transactionTime"":1678768043915},""consume-hold"":{""remarks"":""cash_remarks"",""postingID"":894482,""transactionTime"":1678768060954}}",,1679311565000,,
3732000b-2425-42e0-8492-894155c7e14d,Pkg1674031465,140793,2201104019684666068,5753902685291066454,debit-hold,10000,"""null""","""null""",ACTIVE,793577,2023-01-18 08:44:26.759658+00:00,2023-01-18 08:44:26.759658+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793577,""transactionTime"":1674031466125}}",,1679311565000,,
2a22c660-bac2-427c-801e-97d58f695cd1,test_Cash_Place_Hqiz1674027353,140793,2201104019684666068,6993699687879798222,debit-hold,250000,"""null""","""null""",RELEASED,130330,2023-01-18 07:35:57.261916+00:00,2023-01-18 07:35:57.261916+00:00,cash,"{""place-hold"":{""remarks"":""Cash place Hold 1 Cash"",""postingID"":130330,""transactionTime"":1674027354520},""consume-hold"":{""remarks"":""Cash Withdrawal ATM - 1674027368"",""postingID"":130333,""transactionTime"":1674027374961}}",,1679311565000,,
3cadad6f-5488-47f0-a635-62a54eb503c4,Pkg1674053076,140793,2201104019684666068,5753902685291066454,debit-hold,1000,"""null""","""null""",ACTIVE,793614,2023-01-18 14:44:39.851827+00:00,2023-01-18 14:44:39.851827+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793614,""transactionTime"":1674053078315}}",,1679311565000,,
16fe376e-c088-4ca2-b6b4-a1bbb8c078ed,Pkg1674031475,140793,2201104019684666068,5753902685291066454,debit-hold,10000,"""null""","""null""",RELEASED,793578,2023-01-18 08:44:35.859150+00:00,2023-01-18 08:44:35.859150+00:00,cash,"{""place-hold"":{""remarks"":"" Goods & Services - GA Market 11/28791639"",""postingID"":793578,""transactionTime"":1674031475442},""consume-hold"":{""remarks"":""Goods & Services - GA Market 11/28791639"",""postingID"":793579,""transactionTime"":1674031494408}}",,1679311565000,,
366da2d6-2468-47ca-9766-0a15c7327dc2,HoldTxn1679632074,140793,4035248022331589538,4863864428981138053,debit-hold,1000000,"""null""","""null""",ACTIVE,315934,2023-03-24 04:27:55.445306+00:00,2023-03-24 04:27:55.445306+00:00,purchase,"{""place-hold"":{""remarks"":""Backdated_repayment"",""postingID"":315934,""transactionTime"":1679632075289}}",,1679635647000,,
