id,ifi_id,name,coa_id,coa_node_id,created_at,modified_at,accounting_type,type,code,parent_coa_node_id,state,aura_account_group_id,description,provider_id,_load_ts_ms,cdc_source_ts_ms,attributes,cdc_op
167296578801299105,233862,GIFT_PF_cNLfpHH,7266887274957374659,7301942780317767783,2022-01-25 01:23:15.760000,2022-01-25 01:23:15.760000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,6146061873869912520,,,1681124273000,,{},
8699291219501584808,233862,GIFT_PF_SeTBViL,7266887274957374659,3830139325428946423,2022-01-25 03:13:53.657000,2022-01-25 03:13:53.657000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,3218125478919057228,,,1681124273000,,{},
6576919330007165391,233862,GIFT_PF_ADLMvux,7266887274957374659,8344186767875210814,2022-01-25 04:06:38.022000,2022-01-25 04:06:38.022000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,245660030707732297,,,1681124273000,,{},
6919213758358947464,233862,GIFT_PF_fl3Zx7d,7266887274957374659,4315209877312415919,2022-01-25 06:15:30.397000,2022-01-25 06:15:30.397000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,8808478045340664218,,,1681124273000,,{},
4945359234519971262,140793,HDFCLoanproductfamily_1643094972405,2300517767810633251,5265556527958088491,2022-01-25 07:16:12.768000,2022-01-25 07:16:12.768000,ASSET,ACCOUNT_BASED,HDFCLoanproductfamily_1643094972405,4235483367744118731,ENABLED,3579141373367122794,ProductFamilyDesc,,1681124273000,,,
6241193598179603789,140793,HDFC Credit Product Family,2195968529507449260,9142498065554237807,2022-01-25 09:33:39.635000,2022-01-25 09:33:39.635000,ASSET,ACCOUNT_BASED,HDFCCreditProductFamily_JOBRUN009,3132441935744535938,ENABLED,8412247305386266106,ProductFamilyDesc,,1681124273000,,,
4517547406844875308,140793,HDFC Credit Product Family Jan 25,5470722825421767529,5980611252729530328,2022-01-25 10:21:38.357000,2022-01-25 10:21:38.357000,ASSET,ACCOUNT_BASED,HDFCCreditProductFamilyJan 25,9135044999663481494,ENABLED,4855781558035275387,ProductFamilyDescJan 25,,1681124273000,,,
2870687861283447114,233862,GIFT_PF_Ta8cNcD,7266887274957374659,6171173807900052933,2022-01-25 12:19:00.964000,2022-01-25 12:19:00.964000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,7109450451190330622,,,1681124273000,,{},
3296340287581365772,233862,GIFT_PF_Z0dVsdK,7266887274957374659,8775674459527381126,2022-01-25 13:51:57.836000,2022-01-25 13:51:57.836000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,7007229208441273157,,,1681124273000,,{},
8121084149849162339,233862,GIFT_PF_zY1vaet,7266887274957374659,4016223067041492221,2022-01-25 17:04:00.125000,2022-01-25 17:04:00.125000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,3217016219286801525,,,1681124273000,,{},
3854412963425219872,233862,GIFT_PF_mGom8w5,7266887274957374659,1295549110582817355,2022-01-25 18:08:12.443000,2022-01-25 18:08:12.443000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,2268103137865338373,,,1681124273000,,{},
38135577677698238,233862,GIFT_PF_oXpajfJ,7266887274957374659,1969780398559068687,2022-01-25 19:14:19.653000,2022-01-25 19:14:19.653000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,7672190730420752032,,,1681124273000,,{},
9102082278043970613,233862,GIFT_PF_p4EYRWb,7266887274957374659,1922563061265039371,2022-01-25 19:40:59.215000,2022-01-25 19:40:59.215000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,71091645952757441,,,1681124273000,,{},
260262150038726342,233862,GIFT_PF_t6Lr6Vb,7266887274957374659,2301431658278287882,2022-01-25 23:37:34.647000,2022-01-25 23:37:34.647000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,9111621403896672265,,,1681124273000,,{},
3916694022190264401,233862,GIFT_PF_q6d91U2,7266887274957374659,7403355914685922813,2022-01-26 00:21:37.396000,2022-01-26 00:21:37.396000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,5574632259266384505,,,1681124273000,,{},
7232862874314326076,233862,GIFT_PF_S7brsa1,7266887274957374659,6853004440890094457,2022-01-26 01:42:40.857000,2022-01-26 01:42:40.857000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,4822592620699271733,,,1681124273000,,{},
