id,transaction_ids,tenant_id,loan_type,loan_account_name,account_holder_id,source,emerald_account_id,source_account_id,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
213a255a-a185-416a-9924-5fda564b5797,"[""20230622110627090_2650_orchestra_phase0_merge_sanity_ib_100""]",140793,merchantEMI,aks orchestra phase0 loan booking,e634e4d1-caf2-4d35-8a0f-80b85c037312,ruby,7f057efa-02e8-4ef1-8ffc-9695e11538a9,5818fa44-3c64-44d9-b550-fa1b80c70b17,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230622110913462_985_CONVERSION_LOAN_BOOKING_orchestra_phase0_merge_loan_conversion_ib_1001""}",1687432154565,
0028180d-4e2d-496f-b198-26642469b754,"[""20220706164015638_3180_BillingWorker_test_Day_0001_at_apg_204.0""]",140793,merchantEMI,May20_aion_loan_ank,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,56812cba-5150-4962-8da7-4e1e832f6ad3,cfde6d74-4ac7-4f0d-b52c-fb48ec088e6f,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220706164518785_3309_Loan_conversion_16280184-bd0b-4181-9674-126dd5f0745_May_30_apg_204""}",1687418423492,
005aa714-7ea2-4a25-9cef-f04c6d090fa3,"[""20230423063712061_45_EMI_0002""]",140793,merchantEMI,Emerald_Automation,10ed7eda-2573-4bb5-bba2-4a06c7696347,ruby,dc0d18c2-bd1d-4f13-b54d-a4ba353d0af2,ffd39c04-995e-4e66-9ecf-46cdd819a064,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230423063818737_49_CONVERSION_LOAN_BOOKING_1681910114612_039""}",1687418423498,
011613c3-db50-4aea-9f23-969c3def9b8c,"[""20230419050008129_555_Req_clearance_1681880407""]",140793,merchantEMI,APR_loan_booking,e5e87104-1b5f-4546-926f-3393fa23c72f,ruby,e4ed3fec-3d4f-44a9-8b33-bfd0024c1ccb,bd499ec3-d35d-4052-af4a-fbc3babe881d,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230419055924855_375_CONVERSION_LOAN_BOOKING_AIONloga_loan_process_69""}",1687418423499,
0178400a-117b-4f64-a3d3-1d07902961ed,"[""20220617160810205_21724_Aion_test_place_hold_JunAAcc41567174513566_3_clearance_Arch_N.0""]",140793,merchantEMI,Jun17_aion_loan_ank,4ecb6985-db5b-422f-bd6d-4e76616c88ed,ruby,c61a04de-3abb-4762-a344-9a2548c687dc,63112b34-c386-4d8c-99ae-e925630a962b,1687935371000,{},1687418423499,
02883b7a-fdfd-454a-9a72-9b25d6b19c12,"[""20230502101336449_1984_EMI_00019""]",140793,merchantEMI,Emerald_Automation,395af85e-44be-4c90-9739-c644c8dddda2,ruby,09ae58bc-57c0-4012-b4ba-8e835ccd2a13,8ce5b7af-cf52-452a-83c8-2ac6b39c303d,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230502101425653_6329_CONVERSION_LOAN_BOOKING_1682243534846_0005""}",1687418423500,
02ce7003-60c1-4798-832b-698927fa444f,"[""20230127063350279_11398_Test_account_20220505_00005""]",140793,merchantEMI,Oct_loan_booking,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,ruby,63fa7ac6-1c1e-4ccc-bfc2-a596435b0cc3,4b5f5d04-0d33-46e2-afaf-15e8fc3fe81b,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230127063506567_5590_CONVERSION_LOAN_BOOKING_Test_account_20220505_004""}",1687418423500,
03c0d766-768a-46b0-8fb3-8e9ea11388f2,"[""20220711144432391_33785_test_Jul_at_5000101065.0""]",140793,merchantEMI,July_loan_booking,401c42d5-6dcd-4026-96c3-5541101cf3ef,ruby,fde822d9-bf36-4b53-8825-cc663a4c6340,c730ca37-1d69-4483-957f-f36699a975da,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220711144459065_53250_Loan_conversion_Test_Loan_account_1100117""}",1687418423501,
03cef58d-adc2-46f9-8c42-7831f9d76b2d,"[""20230423073028930_92_Cash_Req_clearance_1682235028.0""]",140793,merchantEMI,APR_loan_booking,47f6bd50-bde1-4bcc-aa99-ba21ef96d445,ruby,e2d7cb25-a612-4e05-8218-e23e92d00f61,744a8b0d-2dbf-4d97-8163-15b0e47889ae,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230423082643849_343_CONVERSION_LOAN_BOOKING_AIONloga_loan_process_0028""}",1687418423501,
040dee39-ec84-4053-8e14-c8d6c7200964,"[""20230410101856490_1178_1681121932944""]",140793,merchantEMI,Emerald_Automation,f878b7dd-29b1-40ac-8f0d-794e64c0a412,ruby,64769123-64f7-441f-8573-3daf94b66d45,2da94e4a-39f9-4a3d-a279-04ddd382836e,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230410101928027_2055_CONVERSION_LOAN_BOOKING_1681121936963""}",1687418423502,
048ff730-5c57-4a16-a02b-2aca53fb165c,"[""20220909132835670_21895_1662730115101""]",140793,merchantEMI,Emerald_Automation,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,3408513c-1597-4f12-9129-35de3c7a2d19,fe4cce3a-db60-496f-b8b0-e70d7f62b3fc,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220909132844922_21897_Loan_conversion_1662730117095""}",1687418423503,
04c3684c-3390-448f-a835-8429fed6eaec,"[""20220620120446561_6579_Aion_test_place_hold_May25_3_clearance_3.0""]",140793,merchantEMI,Test_Store_Emi,23dc806a-7a3b-4521-97cd-5b80e09d9213,ruby,96f1462f-7aa2-48b6-9876-dd44246b7fd6,4cb5e1fb-b60b-42d8-9f4d-473fb81fc12c,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220620120644870_11775_Loan_conversion_4bd73fac-3892-4238-bcce-20ef92fb1969""}",1687418423503,
04f24742-6f3d-4b12-a411-7bf881af83d3,"[""20221208052536550_3440_Test_account_20220326_00012.0""]",140793,merchantEMI,Dec_loan_booking,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,03c1fbc6-abb9-4955-b846-281f133a96ea,a293f5a3-8482-496a-901d-adeede379161,1687935371000,"{""conversionSourceProcessedTransactionID"":""20221208052614614_3451_CONVERSION_LOAN_BOOKING_arch_Test_account_20220326_00012""}",1687418423503,
05c3937a-7e6a-4f5f-84bf-f7be495359d0,"[""20230428134840547_2839_April_28_Refund_flow""]",140793,merchantEMI,march_loan_booking,e634e4d1-caf2-4d35-8a0f-80b85c037312,ruby,6cb172cc-75af-4bcb-adbe-aefeb2b2a8ee,e00c9611-4d54-478a-a779-5463695f1ff6,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230515162204651_618_CONVERSION_LOAN_BOOKING_e00c9611-4d54-478a-a779-5463695f1ff6_15""}",1687418423504,
06cd66b1-9f72-45dc-8584-f5928809c62d,"[""20220707041529169_11238_BillingWorker_test_Day_0001_at_apg_218.0""]",140793,merchantEMI,May20_aion_loan_ank,f2dbe27f-8891-4e2c-9857-8b43016563a1,ruby,77579502-a24e-4f52-a24f-e699d5abb3bf,6fe5ce03-49f1-4bb0-9c78-b8b89ad587ba,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220707041729632_11254_Loan_conversion_16280184-bd0b-4181-9674-126dd5f0745_May_30_apg_218""}",1687418423505,
072bef72-aef4-4338-ab52-d81addc11533,"[""20220825063541940_15931_Aion_test_place_Cult_test""]",140793,merchantEMI,25Aug_cult_change,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,dd7a0239-7166-43d1-b188-f153a2ebeb0f,0db067f5-0ea4-4353-8555-59389774f5ef,1687935371000,"{""conversionSourceProcessedTransactionID"":""20220825063711437_5690_Loan_conversion_Cult_test_25_Aug""}",1687418423506,
075be569-3bc5-4160-af52-2cdeefa33f42,"[""20230313104555932_6235_Test_account_20220530_50000011""]",140793,merchantEMI,Emerald_Testing,fb9cfe7f-b6a3-4be8-9a0b-1d17cac7627a,ruby,67460957-313e-400b-887e-7a7d984d9e6e,0cbf7459-5cd4-4b74-8b68-e39247d4bcb0,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230313105020637_80_CONVERSION_LOAN_BOOKING_1677172328605_20220530_0015""}",1687418423506,
07b06436-b3cc-4106-a33a-dbd3da78ad43,"[""20230209092908917_7873_1675934942""]",140793,merchantEMI,May20_aion_loan_ank,08404a8d-b3d7-4163-82fe-1697d32db056,ruby,f16280d8-86b3-4182-9840-2f4de5242609,635b03e2-d83c-4881-b6df-c09dfab2f78f,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230209092959134_6894_CONVERSION_LOAN_BOOKING_test1111121212183""}",1687418423506,
07faabac-ca2c-4770-aa7a-2eb807f0c19a,"[""20230317095918810_5275_Test_account_20220625_5000001""]",140793,merchantEMI,Emerald_Testing,39e6242a-1494-42a5-91b5-d2e0ab1bcf51,ruby,d32b1619-10b4-44c0-a4ca-5579faf6a49e,898dad9d-3cff-44fc-8320-d3dbc12e0d64,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230317100147944_5288_CONVERSION_LOAN_BOOKING_1677172328605_20220625_001""}",1687418423506,
094c24f1-f296-4ba9-8633-ee3de8b4a9de,"[""20220614064504712_526_Aion_test_place_hold_arch_2651_clearance_14.0""]",140793,merchantEMI,Jun10_aion_loan_ank,4ecb6985-db5b-422f-bd6d-4e76616c88ed,ruby,a4de414c-8aae-451b-8cef-a3e6387fa343,63112b34-c386-4d8c-99ae-e925630a962b,1687935371000,,1687418423508,
0988a65f-3fbf-4049-a37d-800b0a01604b,"[""20230420090233471_2615_EMI_003""]",140793,merchantEMI,Emerald_Automation,395af85e-44be-4c90-9739-c644c8dddda2,ruby,d5ab9d9c-2d07-489a-bbff-18398b873d1d,f6d0ecd7-0eb1-4fa6-a55b-25ef1322a8cc,1687935371000,"{""conversionSourceProcessedTransactionID"":""20230420090442170_2624_CONVERSION_LOAN_BOOKING_1681910114612_013""}",1687418423508,
0add9a76-a910-474e-872f-472abbd85ceb,"[""20221208053648419_995_Test_account_20220326_00019.0""]",140793,merchantEMI,Dec_loan_booking,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,fa62d4df-222f-4443-a845-d67ecd452aeb,593dc9d3-cc75-4823-8874-9698d4f97b5c,1687935371000,"{""conversionSourceProcessedTransactionID"":""20221208053725782_3503_CONVERSION_LOAN_BOOKING_arch_Test_account_20220326_000019""}",1687418423509,
0b034588-359e-4429-a13b-99c5fb7815cf,"[""20221011125654459_1741_Aion_test_place_Cult_test_Oct_11_1""]",140793,merchantEMI,Oct_loan_booking,bad05caf-6c92-476f-b5db-106ad239aa94,ruby,d846a51d-bd1f-4a46-9e9b-3001c26182e9,f8f397be-7215-43d4-a006-951ce1cea557,1687935371000,{},1687418423510,
