ifi,account_holder_id,ledger_id,category,agg_type,agg_value,debits_value,debits_count,debits_reversed_value,debits_reversed_count,debits_reversed_uncaptured_value,debits_reversed_uncaptured_count,credits_value,credits_count,credits_reversed_value,credits_reversed_count,credits_reversed_uncaptured_value,credits_reversed_uncaptured_count,updated_at,forced_debits_value,forced_debits_count,forced_debits_reversed_value,forced_debits_reversed_count,forced_debits_reversed_uncaptured_value,forced_debits_reversed_uncaptured_count,forced_credits_value,forced_credits_count,forced_credits_reversed_value,forced_credits_reversed_count,forced_credits_reversed_uncaptured_value,forced_credits_reversed_uncaptured_count,account_group_scope,cycle_id,period_sequence_number,_load_ts_ms,cdc_source_ts_ms,cdc_op
140793,47f6bd50-bde1-4bcc-aa99-ba21ef96d445,2408326064439590154,*,DAY,2023-06-01,1915,1,0,0,0,0,41757,1,0,0,0,0,2023-06-01 10:23:56.219660+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685615036361,
140793,df4bac3a-ed6c-4a48-83dc-45a010044c12,2825380731807997481,*,WEEK,2023-05-29,4103,2,0,0,0,0,83514,2,0,0,0,0,2023-06-01 10:23:56.979850+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685615037099,
140793,caf56a45-cc11-4d01-ad1d-a81b59425825,3313300091982954416,*,DAY,2023-06-01,1915,1,0,0,0,0,41757,1,0,0,0,0,2023-06-01 10:24:03.696740+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685615043826,
140793,7887fa76-8607-4dfe-a86d-4d63f9d37224,3862986482320186204,*,WEEK,2023-05-29,82879,2,0,0,0,0,1686940,2,0,0,0,0,2023-06-01 10:24:03.773064+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685615043895,
140793,85d28f37-a858-4905-9ff7-d7f858f98c99,7938274190540612586,*,DAY,2023-06-05,1056,1,0,0,0,0,92171,1,0,0,0,0,2023-06-05 11:13:24.604850+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685963604747,
140793,395af85e-44be-4c90-9739-c644c8dddda2,6373171872021356545,*,DAY,2023-06-05,153,1,0,0,0,0,29149,1,0,0,0,0,2023-06-05 13:38:25.986654+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685972306529,
140793,8c7546fc-0ea8-4f25-8e74-7778115bde7b,7125229728988178375,*,DAY,2023-06-05,38748,1,0,0,0,0,843470,1,0,0,0,0,2023-06-05 13:38:32.913258+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1685972313478,
140793,50026720-be90-4902-933b-2932936e5561,3949156393925647975,*,WEEK,2023-06-05,156,1,0,0,0,0,17583,1,0,0,0,0,2023-06-06 06:56:06.211568+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1686034566472,
140793,50026720-be90-4902-933b-2932936e5561,3906905973901745643,*,DAY,2023-06-06,253,1,0,0,0,0,9651,1,0,0,0,0,2023-06-06 06:56:14.567804+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1686034574684,
140793,50026720-be90-4902-933b-2932936e5561,3906905973901745643,*,WEEK,2023-06-05,253,1,0,0,0,0,9651,1,0,0,0,0,2023-06-06 06:56:14.567804+00:00,0,0,0,0,0,0,0,0,0,0,0,0,ACCOUNT,-1,-1,1687954690000,1686034574684,
