rate_id,amount_tiers,currency,description,name,rate_specification_code,status,tenant_id,valid_from,valid_till,version,created_at,updated_at,id,_load_ts_ms,cdc_source_ts_ms,cdc_op
162,"[{""toAmount"":9999999,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]}]",INR,CASH_PROMO_COUP1_5143 description,CASH_PROMO_COUP1_5143,CASH_PROMO_COUP1_5143,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-04 07:13:15.703000,2022-09-04 07:13:15.703000,1f787923-c99c-44c7-b1eb-9a3737e3d8fa,1687935872000,1687773038880,
258,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":40.0}]}]",INR,CASH_GEN_COUP1 description,CASH_GEN_COUP1,CASH1663753319028,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-21 09:42:02.994000,2022-09-21 09:42:02.994000,1fbb46be-cfe5-4938-ba94-d68384eb840c,1687935872000,1687773038880,
703,"[{""toAmount"":9223372036854775807,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":100,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":0.0}]}]",INR,Zero Rate interest,Zero Rate Interest,IRTIN000000,ACTIVE,600309,2021-04-01,2030-03-31,24,2023-06-10 17:47:52.265000,2023-06-10 17:47:52.265000,1ffebbcc-9ba5-4329-82be-b3dfd1ce33a6,1687935872000,1687773038880,
104,"[{""toAmount"":9999999999,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":36.0}]}]",INR,string,string,ECOMINTERESTSILVERCARD111111,ACTIVE,172097,2019-01-01,2030-12-31,1,1970-01-01 00:00:00,1970-01-01 00:00:00,23c87d15-b921-4538-82ac-14e4cfacbb65,1687935872000,1687773038880,
306,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":40.0}]}]",INR,CASH_GEN_COUP1 description,CASH_GEN_COUP1,CASH1664134619620,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-25 19:37:10.956000,2022-09-25 19:37:10.956000,243b25de-943a-4a57-8dc6-624ee506f679,1687935872000,1687773038880,
100,"[{""toAmount"":10000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":15,""years"":1,""months"":2},""fromTenure"":{""days"":15,""years"":1,""months"":2},""interestRate"":12.5}]}]",INR,TempInterestRatesGold description,TempInterestRatesGoldNewOne,TEMPINTERESTRATEGOLDNEWONsE,ACTIVE,172097,2021-01-01,2021-01-31,1,1970-01-01 00:00:00,1970-01-01 00:00:00,2b14afdc-7859-45a3-add0-43e69644126f,1687935872000,1687773038880,
187,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":40.0}]}]",INR,CASH_GEN_COUP1 description,ECOM_GEN_COUP1,ECOM1663680646915,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-20 13:30:49.185000,2022-09-20 13:30:49.185000,2ba78fa6-c9f0-4f13-aa98-2337a9c0a497,1687935872000,1687773038880,
348,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":12.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":15.0}]},{""toAmount"":100000000,""fromAmount"":900001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":18.0}]}]",INR,TM_MCC_RATE_5143 description,TM_MCC_RATE_5143,ECOM_RATE_001,ACTIVE,140793,2000-01-01,2100-01-01,2,2022-09-04 06:55:05.316000,2022-09-04 06:55:05.316000,2bf3d9ee-5b96-4b83-b068-e49cae67d4cd,1687935872000,1687773038880,
190,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":40.0}]}]",INR,CASH_GEN_COUP1 description,CASH_GEN_COUP1,CASH1663680717213,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-20 13:32:00.278000,2022-09-20 13:32:00.278000,2d18577b-bfdc-49ef-b2c7-0c8168fc263b,1687935872000,1687773038880,
248,"[{""toAmount"":100000,""fromAmount"":0,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":45.0}]},{""toAmount"":900000,""fromAmount"":100001,""tenureTier"":[{""toTenure"":{""days"":0,""years"":200,""months"":0},""fromTenure"":{""days"":0,""years"":0,""months"":0},""interestRate"":40.0}]}]",INR,CASH_GEN_COUP1 description,CASH_GEN_COUP1,CASH1663704503666,ACTIVE,140793,2010-01-01,2031-12-01,1,2022-09-20 20:08:26.577000,2022-09-20 20:08:26.577000,2db1e0a6-842d-4588-9174-e0bbe77f3fe5,1687935872000,1687773038880,
