id,ifi,requestmti,datetimelocaltx,datetimetransmission,mid,acquiringinstidcode,tid,transactionidentifier,stan,transactionamount,currencycodetransaction,approvalcode,originaldataelements,requesttimestamp,masked_pan,processingcode,timelocaltransaction,datelocaltransaction,pointofserviceentrymode,pointofserviceconditioncode,amounttransactionfee,forwardinginstitutionidentificationcode,additionalposinformation,vipprivateusefields,cguid,responsecode,additionalresponsedata,receipt,created_at,modified_at,errorcode,paymentrequestid,requestfrom,transactiontype,retrievalrefnumber,cardholderbillingamount,cardholderbillingcurrencycode,payment_code,originalauthrequestid,_load_ts_ms
e73c238d-1066-4d1b-9f64-495b03d46e12,140793,0100,2022-12-08 00:29:41+00:00,1208055941,M00001,123456,T00001,807525337208036,000732,000000000001,356,,,2022-12-08 05:59:43.664000,"""434919-xxxxxx-2591""","""000000""","""055941""","""1208""","""0000""","""59""",,,"""090000000740""","""8000000002""","""fe1286aa-b1f5-47c9-90d5-037e8777cc62""","""12""",,,2022-12-08 05:59:43.678000,2022-12-08 05:59:43.678000,MANDATORY_FIELDS_MISSING,123456_7525337208036_fe1286aa-b1f5-47c9-90d5-037e8777cc62,8668319343506080193@ledger.zeta.in,ECOM_PURCHASE,468123763860,000000025000,840,PMCINZZ10091034,123456_7525337208036_fe1286aa-b1f5-47c9-90d5-037e8777cc62,1681910639000
476a3395-ebae-4272-b973-e089b35442a0,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,836277721342505,000732,000000000100,356,,,2023-02-24 13:09:23.811000,"""567891-xxxxxx-3925""","""000000""","""112828""","""0224""","""0000""","""59""","""D00000000""",,"""090000000840""","""8000000002""","""bd3b9be3-3f84-406c-9a87-3d90849ca5d2""","""12""",,,2023-02-24 13:09:23.811000,2023-02-24 13:09:23.811000,PAYMENT_CODE_NOT_FOUND,123456_6277721342505_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,5744148618783252551@ledger.zeta.in,,108979175612,000000000100,356,,123456_6277721342505_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,1681910639000
1c4ba17e-5b41-4fcd-b744-be3c3816f8ba,140793,0100,2023-02-23 06:58:47+00:00,0223122847,450545891008001,123456,91008001,847592407993901,000556,000000010000,356,,,2023-02-23 12:43:31.111000,"""567891-xxxxxx-3925""","""000000""","""122847""","""0223""","""0500""","""00""","""D00000000""",,"""050000100000""","""8000000002""","""bd3b9be3-3f84-406c-9a87-3d90849ca5d2""","""12""",,,2023-02-23 12:43:31.112000,2023-02-23 12:43:31.112000,PAYMENT_CODE_NOT_FOUND,123456_7592407993901_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,5744148618783252551@ledger.zeta.in,,908479176093,000000010000,356,,123456_7592407993901_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,1681910639000
f2b08ee1-aad7-4cf3-bd55-1db05ea3b6eb,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,582054193532571,000556,000000000100,356,,,2023-02-24 13:46:14.240000,"""434919-xxxxxx-1445""","""000000""","""112828""","""0224""","""9000""","""00""","""D00000000""",,"""020000000000""","""8000000002""","""099c8c0a-bd82-4f88-b36c-ad714c2e60e2""","""12""",,,2023-02-24 13:46:14.241000,2023-02-24 13:46:14.241000,PAYMENT_CODE_NOT_FOUND,123456_2054193532571_099c8c0a-bd82-4f88-b36c-ad714c2e60e2,8668319343506080193@ledger.zeta.in,,844178071945,000000000100,356,,123456_2054193532571_099c8c0a-bd82-4f88-b36c-ad714c2e60e2,1681910639000
1acdf64c-faab-400e-b81e-bd97eee31d71,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,806293049835479,000556,000000000100,356,,,2023-02-24 13:46:24.077000,"""434919-xxxxxx-1445""","""000000""","""112828""","""0224""","""0500""","""00""","""D00000000""",,"""050000100000""","""8000000002""","""099c8c0a-bd82-4f88-b36c-ad714c2e60e2""","""12""","""    1   2""",,2023-02-24 13:46:24.078000,2023-02-24 13:46:24.078000,INVALID_CARDHOLDER_BILLING_CURRENCY_CODE,123456_6293049835479_099c8c0a-bd82-4f88-b36c-ad714c2e60e2,8668319343506080193@ledger.zeta.in,POS_PURCHASE,761106481011,000000000100,356,PMCINZZ10090100,123456_6293049835479_099c8c0a-bd82-4f88-b36c-ad714c2e60e2,1681910639000
e3beeb2e-2295-4764-b08c-631ed41fb2ff,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,015134271320972,000732,000000000100,356,,,2023-02-24 13:47:17.808000,"""434919-xxxxxx-7532""","""000000""","""112828""","""0224""","""1000""","""59""","""D00000000""",,"""090000000840""","""8000000002""","""cbd310ba-329a-4b54-91e3-152f6c5c000a""","""12""",,,2023-02-24 13:47:17.809000,2023-02-24 13:47:17.809000,PAYMENT_CODE_NOT_FOUND,123456_5134271320972_cbd310ba-329a-4b54-91e3-152f6c5c000a,8668319343506080193@ledger.zeta.in,,971897082618,000000000100,356,,123456_5134271320972_cbd310ba-329a-4b54-91e3-152f6c5c000a,1681910639000
2c29d5a4-7b45-4284-8f81-03ee63fc0343,140793,0100,2023-02-23 20:21:20+00:00,0224135120,M00001,123456,T00001,399212454580913,000556,000000000001,356,,,2023-02-24 13:51:21.181000,"""434919-xxxxxx-2591""","""000000""","""015120""","""0224""","""0500""","""00""","""C00000000""",,"""450000100000""","""8000000002""","""fe1286aa-b1f5-47c9-90d5-037e8777cc62""","""12""","""    2   2""",,2023-02-24 13:51:21.182000,2023-02-24 13:51:21.182000,INVALID_CARDHOLDER_BILLING_CURRENCY_CODE,123456_9212454580913_fe1286aa-b1f5-47c9-90d5-037e8777cc62,8668319343506080193@ledger.zeta.in,POS_PURCHASE,195708996544,000000000001,356,PMCINZZ10090100,123456_9212454580913_fe1286aa-b1f5-47c9-90d5-037e8777cc62,1681910639000
b304e61f-0a60-41e4-a193-479003a9b09d,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,764777652629044,000732,000000000100,356,,,2023-02-24 13:08:49.069000,"""567891-xxxxxx-3925""","""000000""","""112828""","""0224""","""0000""","""59""","""D00000000""",,"""090000000840""","""8000000002""","""bd3b9be3-3f84-406c-9a87-3d90849ca5d2""","""12""",,,2023-02-24 13:08:49.070000,2023-02-24 13:08:49.070000,PAYMENT_CODE_NOT_FOUND,123456_4777652629044_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,5744148618783252551@ledger.zeta.in,,627617227502,000000000100,356,,123456_4777652629044_bd3b9be3-3f84-406c-9a87-3d90849ca5d2,1681910639000
f7165f3e-1a79-4ecb-b9b1-fc9a345abda9,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,922583801005380,000732,000000000100,356,,,2023-02-24 13:10:41.838000,"""567891-xxxxxx-0058""","""000000""","""112828""","""0224""","""0000""","""59""","""D00000000""",,"""090000000840""","""8000000002""","""2da32bf7-4617-49ee-bc1d-91ebb715c234""","""12""",,,2023-02-24 13:10:41.840000,2023-02-24 13:10:41.840000,PAYMENT_CODE_NOT_FOUND,123456_2583801005380_2da32bf7-4617-49ee-bc1d-91ebb715c234,5744148618783252551@ledger.zeta.in,,274046593187,000000000100,356,,123456_2583801005380_2da32bf7-4617-49ee-bc1d-91ebb715c234,1681910639000
e9d763c5-e4a5-4ac0-b845-5ae11b6a70ad,140793,0100,2023-02-24 05:58:28+00:00,0224112828,450545891008001,123456,91008001,494019773438028,000556,000000000100,356,,,2023-02-24 13:12:28.346000,"""567891-xxxxxx-7023""","""000000""","""112828""","""0224""","""0500""","""00""","""D00000000""",,"""050000100000""","""8000000002""","""9aa52739-ac98-4873-bc15-b652856ae3c5""","""12""",,,2023-02-24 13:12:28.346000,2023-02-24 13:12:28.346000,PAYMENT_CODE_NOT_FOUND,123456_4019773438028_9aa52739-ac98-4873-bc15-b652856ae3c5,5744148618783252551@ledger.zeta.in,,168449108767,000000000100,356,,123456_4019773438028_9aa52739-ac98-4873-bc15-b652856ae3c5,1681910639000
