filename,fileid,network,total_entries,cycle,isprocessed,created_at,modified_at,_load_ts_ms,cdc_source_ts_ms,file_history_id,cdc_op
ZETA_SODEXO_REPORT/SFBIFR2501202219000001.txt.gpg,SFBIFR2501202219000001,SODEXO,1,220125,False,2022-01-25 19:05:18.657000,2022-01-25 19:05:18.657000,1688543046000,1687768917315,,
ZETA_VISA_REPORT_20220120IDFC/SAVE.INCOMING.ASCII.EPIN.TXT,22020_001_403776_22020_b9c488f1,VISA,50,22020,False,2022-02-03 09:41:23.669000,2022-02-03 09:41:23.669000,1688543046000,1687768917293,,
ZETA_SODEXO_REPORT/SFBIFR1002202219000001.txt.gpg,SFBIFR1002202219000001,SODEXO,27,220210,False,2022-02-10 19:12:15.152000,2022-02-10 19:12:15.152000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR1202202219000001.txt.gpg,SFBIFR1202202219000001,SODEXO,2,220212,False,2022-02-12 20:37:35.610000,2022-02-12 20:37:35.610000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR1802202219000001.txt.gpg,SFBIFR1802202219000001,SODEXO,9,220218,False,2022-02-18 19:04:41.817000,2022-02-18 19:04:41.817000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR1902202219000001.txt.gpg,SFBIFR1902202219000001,SODEXO,22,220219,False,2022-02-19 19:06:08.300000,2022-02-19 19:06:08.300000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR2202202219000001.txt.gpg,SFBIFR2202202219000001,SODEXO,11,220222,False,2022-02-22 19:06:46.026000,2022-02-22 19:06:46.026000,1688543046000,1687768917315,,
ZETA_SODEXO_REPORT/SFBIFR0303202219000001.txt.gpg,SFBIFR0303202219000001,SODEXO,6,220303,False,2022-03-03 19:04:19.741000,2022-03-03 19:04:19.741000,1688543046000,1687768917302,,
ZETA_VISA_REPORT_427879_20220326_0930/SAVE.INCOMING.ASCII.EPIN.TXT,22085_001_427879_22085_4e0e87f4,VISA,17,22085,False,2022-04-07 14:45:21.693000,2022-04-07 14:45:21.693000,1688543046000,1687768917294,,
ZETA_AMEX_REPORT_20220414/T1200.T0000408.NCM.20200422.0002.gpg,000009_INT,AMEX,10,20200422,False,2022-04-25 12:38:04.966000,2022-04-25 12:38:04.966000,1688543046000,1687768917292,,
ZETA_VISA_REPORT_427879_20220522_1530/SAVE.INCOMING.ASCII.EPIN.TXT,22142_001_427879_22142_635c4e2c,VISA,6,22142,False,2022-05-23 11:00:16.529000,2022-05-23 11:00:16.529000,1688543046000,1687768917294,,
ZETA_FIS_OTWS_REPORT/SDSClearing1658233056.xml.gpg,SDSCLEARING1658233056,FIS,1,220719,False,2022-07-20 17:07:48.916000,2022-07-20 17:07:48.916000,1688543046000,1687768917299,,
ZETA_SODEXO_REPORT/SFBIFR2801202219000001.txt.gpg,SFBIFR2801202219000001,SODEXO,20,220128,False,2022-01-28 19:05:51.133000,2022-01-28 19:05:51.133000,1688543046000,1687768917316,,
ZETA_SODEXO_REPORT/SFBIFR3101202219000001.txt.gpg,SFBIFR3101202219000001,SODEXO,5,220131,False,2022-01-31 19:24:28.686000,2022-01-31 19:24:28.686000,1688543046000,1687768917316,,
ZETA_VISA_REPORT_20220119IDFC/SAVE.INCOMING.ASCII.EPIN.TXT,22021_001_403776_22021_404b6292,VISA,26,22021,False,2022-02-03 09:36:23.008000,2022-02-03 09:36:23.008000,1688543046000,1687768917293,,
ZETA_SODEXO_REPORT/SFBIFR0302202219000001.txt.gpg,SFBIFR0302202219000001,SODEXO,3,220203,False,2022-02-03 19:06:23.690000,2022-02-03 19:06:23.690000,1688543046000,1687768917302,,
ZETA_SODEXO_REPORT/SFBIFR0902202219000001.txt.gpg,SFBIFR0902202219000001,SODEXO,37,220209,False,2022-02-09 19:08:01.098000,2022-02-09 19:08:01.098000,1688543046000,1687768917313,,
ZETA_SODEXO_REPORT/SFBIFR1402202219000001.txt.gpg,SFBIFR1402202219000001,SODEXO,31,220214,False,2022-02-14 19:08:20.308000,2022-02-14 19:08:20.308000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR1502202219000001.txt.gpg,SFBIFR1502202219000001,SODEXO,12,220215,False,2022-02-15 19:04:48.445000,2022-02-15 19:04:48.445000,1688543046000,1687768917314,,
ZETA_AMEX_REPORT_20220216/T1200.T0000408.NCM.20200602.002,900013,AMEX,81,20200602,False,2022-02-16 13:12:36.478000,2022-02-16 13:12:36.478000,1688543046000,1687768917299,,
ZETA_SODEXO_REPORT/SFBIFR2802202219000001.txt.gpg,SFBIFR2802202219000001,SODEXO,3,220228,False,2022-02-28 19:04:50.810000,2022-02-28 19:04:50.810000,1688543046000,1687768917316,,
ZETA_VISA_REPORT_427879_20220327_1530/SAVE.INCOMING.ASCII.EPIN.TXT,22086_001_427879_22086_2e8a90e7,VISA,9,22086,False,2022-04-07 14:45:21.296000,2022-04-07 14:45:21.296000,1688543046000,1687768917294,,
ZETA_VISA_REPORT_427879_20220421_0930/SAVE.INCOMING.ASCII.EPIN.TXT,22111_001_427879_22111_7743617a,VISA,3,22111,False,2022-04-26 11:15:24.695000,2022-04-26 11:15:24.695000,1688543046000,1687768917294,,
ZETA_FIS_OTWS_REPORT/failed/SDSClearing1656486951.xml.gpg,SDSCLEARING1656486951,FIS,1,220616,False,2022-06-29 13:55:31.157000,2022-06-29 13:55:31.157000,1688543046000,1687768917299,,
ZETA_SODEXO_REPORT/SFBIFR0402202219000001.txt.gpg,SFBIFR0402202219000001,SODEXO,12,220204,False,2022-02-04 19:09:19.969000,2022-02-04 19:09:19.969000,1688543046000,1687768917302,,
ZETA_SODEXO_REPORT/SFBIFR0802202219000001.txt.gpg,SFBIFR0802202219000001,SODEXO,26,220208,False,2022-02-08 19:07:51.375000,2022-02-08 19:07:51.375000,1688543046000,1687768917313,,
ZETA_SODEXO_REPORT/SFBIFR1602202219000001.txt.gpg,SFBIFR1602202219000001,SODEXO,14,220216,False,2022-02-16 19:05:40.269000,2022-02-16 19:05:40.269000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR1702202219000001.txt.gpg,SFBIFR1702202219000001,SODEXO,19,220217,False,2022-02-17 19:09:42.010000,2022-02-17 19:09:42.010000,1688543046000,1687768917314,,
ZETA_SODEXO_REPORT/SFBIFR0103202219000101.txt.gpg,SFBIFR0103202219000101,SODEXO,7,220301,False,2022-03-01 19:06:40.704000,2022-03-01 19:06:40.704000,1688543046000,1687768917301,,
ZETA_VISA_REPORT_20211029/SAVE.INCOMING.ASCII.EPIN.TXT,21307_001_403776_21307_0a1f11f1,VISA,3,21307,False,2022-04-07 13:40:21.205000,2022-04-07 13:40:21.205000,1688543046000,1687768917292,,
