id,tenant_id,classification_model_id,classification_unit_id,object_type,object_id,updated_by,deleted,created_at,updated_at,_load_ts_ms,cdc_source_ts_ms,association_attributes,cdc_op
2,140827,10,5,in.zeta.mars.KYCStatus,12,8@zetauser.zeta.in/1,True,2021-01-15 05:59:05.386035+00:00,2021-01-15 08:59:26.831157+00:00,1676931865000,,"{""key"":""value""}",
25,162402,13,8,in.zeta.cipher.card,random_uuid_5,8@zetauser.zeta.in/1,True,2021-03-01 08:17:08.569383+00:00,2022-09-13 04:15:43.248289+00:00,1676931865000,,"{""key"":""value1234""}",
38,158704,20,17,in.zeta.mars.KYCStatus,b033a8b7-ffea-40af-be19-28283cfe4561,,False,2021-04-06 09:13:10.929945+00:00,2021-04-06 09:13:10.929945+00:00,1676931865000,,{},
52,151613,24,22,in.zeta.mars.KYCStatus,4c001e40-b0f0-4e0c-9b72-ed587d4a78bf,,False,2021-06-07 03:53:00.068979+00:00,2021-06-07 03:53:00.068979+00:00,1676931865000,,{},
54,151613,24,22,in.zeta.mars.KYCStatus,98c15fcb-a4c4-48e7-bb9f-ef05a4cee0fe,,False,2021-06-07 03:54:07.450286+00:00,2021-06-07 03:54:07.450286+00:00,1676931865000,,{},
56,151613,24,22,in.zeta.mars.KYCStatus,132a82d3-efd0-4adf-95b9-865f203f8e8c,,False,2021-06-07 03:54:20.040419+00:00,2021-06-07 03:54:20.040419+00:00,1676931865000,,{},
57,151613,24,22,in.zeta.mars.KYCStatus,76c7d6c1-62eb-4053-813b-3757c55fc6a6,,False,2021-06-07 03:59:08.161749+00:00,2021-06-07 03:59:08.161749+00:00,1676931865000,,{},
59,151613,24,22,in.zeta.mars.KYCStatus,b6f44d77-f21a-48b1-a764-cec396bbc49e,,False,2021-06-07 04:01:09.968806+00:00,2021-06-07 04:01:09.968806+00:00,1676931865000,,{},
63,151613,24,22,in.zeta.mars.KYCStatus,28fc89e0-ed5e-4d7b-a860-3f4dcc169018,,False,2021-06-07 04:03:35.960034+00:00,2021-06-07 04:03:35.960034+00:00,1676931865000,,{},
67,151613,24,22,in.zeta.mars.KYCStatus,80877e6a-c9fa-4c70-82c2-dab495d815b2,,False,2021-06-07 04:07:05.325743+00:00,2021-06-07 04:07:05.325743+00:00,1676931865000,,{},
68,151613,24,22,in.zeta.mars.KYCStatus,5d964f9a-d589-48d7-b948-b81739c2ecd1,,False,2021-06-07 04:15:41.909530+00:00,2023-01-13 12:25:17.418358+00:00,1676931865000,,{},
74,151613,24,22,in.zeta.mars.KYCStatus,ec0c3aa5-96ee-4788-9257-f27941a025fe,,False,2021-06-07 04:48:16.491417+00:00,2023-01-13 12:25:51.072683+00:00,1676931865000,,{},
212,151613,24,22,in.zeta.mars.KYCStatus,a272f610-149e-4eb6-a7f1-fb220f5e7138,,False,2021-06-07 07:53:23.091030+00:00,2021-09-07 07:41:47.007970+00:00,1676931865000,,{},
314,151613,24,22,in.zeta.mars.KYCStatus,d77d8e80-7813-4ec8-891a-89ba4e21f3b7,,False,2021-06-07 08:31:47.388224+00:00,2021-06-07 08:31:47.388224+00:00,1676931865000,,{},
514,151613,24,22,in.zeta.mars.KYCStatus,3eb9d3bf-778e-4138-a039-487d3914a3f1,,False,2021-06-07 08:45:36.413196+00:00,2021-06-07 08:45:36.413196+00:00,1676931865000,,{},
611,151613,24,22,in.zeta.mars.KYCStatus,ef8b351c-60e8-4a15-82eb-6cacdc09d204,,False,2021-06-07 08:54:08.228752+00:00,2021-06-07 08:54:08.228752+00:00,1676931865000,,{},
1152,151613,24,22,in.zeta.mars.KYCStatus,f41f44e6-ee9f-4e9d-a6eb-8a94a4281a48,,False,2021-06-07 10:14:47.088793+00:00,2021-06-07 10:14:47.088793+00:00,1676931865000,,{},
1899,151613,24,22,in.zeta.mars.KYCStatus,2019134d-1088-4fad-95ec-ebbb1dd65af0,,False,2021-06-07 12:42:37.063789+00:00,2021-10-05 06:59:48.020101+00:00,1676931865000,,{},
2035,151613,24,22,in.zeta.mars.KYCStatus,a458633d-1b47-43ed-9a3d-5b3823cf9fd6,,False,2021-06-07 13:53:53.060460+00:00,2021-10-23 13:02:49.784345+00:00,1676931865000,,{},
3067,151613,24,22,in.zeta.mars.KYCStatus,ea98a897-555b-41ed-822e-689ec5da6bc9,,False,2021-06-07 16:54:06.365522+00:00,2022-03-03 10:22:23.887007+00:00,1676931865000,,{},
5480,151613,24,22,in.zeta.mars.KYCStatus,84e2a657-7537-409d-86f7-c6a683dca4d8,,True,2021-06-08 05:45:34.459835+00:00,2021-09-02 16:31:12.735646+00:00,1676931865000,,{},
6006,151613,24,22,in.zeta.mars.KYCStatus,15dcf570-768d-4923-bc9d-05efb1505dfb,,False,2021-06-08 07:11:03.964254+00:00,2023-01-13 06:20:25.885328+00:00,1676931865000,,{},
6318,151613,24,22,in.zeta.mars.KYCStatus,c3d91199-a446-4a25-94a9-918664d393ef,,False,2021-06-08 07:54:11.372156+00:00,2021-11-26 11:00:21.180659+00:00,1676931865000,,{},
6488,151613,24,22,in.zeta.mars.KYCStatus,78ac9e26-55d9-4108-9a5c-eac0d0240257,,False,2021-06-08 07:54:28.206699+00:00,2021-06-11 08:25:38.059737+00:00,1676931865000,,{},
22116,151613,24,22,in.zeta.mars.KYCStatus,7237bf7a-9a83-4ba7-8eb3-e9f585eecd38,,False,2021-06-10 09:15:23.044183+00:00,2021-06-10 09:16:13.737607+00:00,1676931865000,,{},
23321,151613,24,22,in.zeta.mars.KYCStatus,f2ff9aef-fb50-463e-9e2b-c81c0562a883,,False,2021-06-10 11:26:31.710132+00:00,2021-06-10 11:26:31.710132+00:00,1676931865000,,{},
24949,151613,24,22,in.zeta.mars.KYCStatus,c2845fb9-9b3c-4a05-8989-bfcf015342f8,,False,2021-06-10 14:30:48.647572+00:00,2021-06-10 14:30:48.647572+00:00,1676931865000,,{},
