id,policy_version_id,action,transaction_category,aggregation_expression_id,day_limit,week_limit,month_limit,quarter_limit,year_limit,error_code,ifi,aggregation_expression_code,cycle_id,max_limit,entity_type,entity_value,_load_ts_ms,cdc_source_ts_ms,cdc_op
951103,6106004732608389936,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456100000,1698455654379,
951163,8921885398199330294,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456286000,1698456006870,
951240,7504770317345517575,DEBIT,DOMESTIC_POS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_POS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456595000,1698456336206,
951257,1598412556933992703,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456766000,1698456401954,
951256,4545028593778770082,DEBIT,DOMESTIC_POS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_POS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456766000,1698456373950,
951260,4783324756715636438,DEBIT,DOMESTIC_POS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_POS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456950000,1698456464603,
951268,4094495166135849023,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698456950000,1698456643172,
951362,8230890116118462575,DEBIT,DOMESTIC_POS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_POS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698457308000,1698456977393,
951365,5060939511664310204,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698457308000,1698457007989,
951369,8926520008631850277,DEBIT,DOMESTIC_CONTACTLESS_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,DOMESTIC_CONTACTLESS_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698457308000,1698457031897,
951371,8926520008631850277,DEBIT,INTERNATIONAL_ECOM_887a3275-f548-4bf5-a795-dc4deb2e9728_PC_CARD_SPENDLIMITS,45642,,,,,,INTERNATIONAL_ECOM_QUARTERLY,600309,10,,1000,cycleCode,CALENDAR_YEAR_QUARTERLY_1441665598567441191,1698457308000,1698457031897,
