ifi_id,coa_id,ancestor_id,descendent_id,distance,created_at,modified_at,deleted_at,_load_ts_ms,cdc_source_ts_ms,cdc_op
140793,22803532920199130,8139467403239766916,2141700057967982130,2,2022-03-10 10:01:13.752365+00:00,2022-03-10 10:01:13.752365+00:00,,1687936108000,1687770324473,
140793,22803532920199130,8139467403239766916,2909812235527790985,3,2022-03-10 10:17:41.668781+00:00,2022-03-10 10:17:41.668781+00:00,,1687936108000,1687770324473,
140793,22803532920199130,8139467403239766916,3392904761360303092,1,2022-03-10 10:01:26.301684+00:00,2022-03-10 10:01:26.301684+00:00,,1687936108000,1687770324473,
140793,22803532920199130,8139467403239766916,3508200881218964019,2,2022-03-10 10:17:39.705065+00:00,2022-03-10 10:17:39.705065+00:00,,1687936108000,1687770324473,
140793,22803532920199130,8139467403239766916,3800997752670794380,4,2022-03-10 10:02:34.597378+00:00,2022-03-10 10:02:34.597378+00:00,,1687936108000,1687770324473,
140793,22803532920199130,8139467403239766916,5193455005235148467,2,2022-03-10 10:01:19.531398+00:00,2022-03-10 10:01:19.531398+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,6700287683659175907,3,2022-03-10 10:02:33.988518+00:00,2022-03-10 10:02:33.988518+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,6976656950344696601,1,2022-03-10 10:01:19.317329+00:00,2022-03-10 10:01:19.317329+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,6995172530665656142,3,2022-03-10 10:01:24.929096+00:00,2022-03-10 10:01:24.929096+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7096771874529468276,2,2022-03-10 10:01:19.415208+00:00,2022-03-10 10:01:19.415208+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7264002727645588277,3,2022-03-10 10:17:41.335926+00:00,2022-03-10 10:17:41.335926+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7583453411998011562,2,2022-03-10 10:17:39.606946+00:00,2022-03-10 10:17:39.606946+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7649562031367952611,1,2022-03-10 10:01:21.238483+00:00,2022-03-10 10:01:21.238483+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7652062083346500502,4,2022-03-10 10:17:50.979650+00:00,2022-03-10 10:17:50.979650+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7701072073038700036,1,2022-03-10 10:01:20.831352+00:00,2022-03-10 10:01:20.831352+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,7840222381736674934,2,2022-03-10 10:01:26.410620+00:00,2022-03-10 10:01:26.410620+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,8139467403239766916,0,2022-03-10 10:00:18.427907+00:00,2022-03-10 10:00:18.427907+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,8281386515394084486,2,2022-03-10 10:17:41.224128+00:00,2022-03-10 10:17:41.224128+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,8499932171007181474,3,2022-03-10 10:01:25.847434+00:00,2022-03-10 10:01:25.847434+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,8657422591285596070,2,2022-03-10 10:09:13.911444+00:00,2022-03-10 10:09:13.911444+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8139467403239766916,8833477757650700004,3,2022-03-10 10:01:21.439908+00:00,2022-03-10 10:01:21.439908+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8281386515394084486,2909812235527790985,1,2022-03-10 10:17:41.668781+00:00,2022-03-10 10:17:41.668781+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8281386515394084486,7264002727645588277,1,2022-03-10 10:17:41.335926+00:00,2022-03-10 10:17:41.335926+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8281386515394084486,8281386515394084486,0,2022-03-10 10:17:41.224128+00:00,2022-03-10 10:17:41.224128+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8499932171007181474,8499932171007181474,0,2022-03-10 10:01:25.847434+00:00,2022-03-10 10:01:25.847434+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8657422591285596070,8657422591285596070,0,2022-03-10 10:09:13.911444+00:00,2022-03-10 10:09:13.911444+00:00,,1687936108000,1687770324474,
140793,22803532920199130,8833477757650700004,8833477757650700004,0,2022-03-10 10:01:21.439908+00:00,2022-03-10 10:01:21.439908+00:00,,1687936108000,1687770324474,
140793,8236278477036202856,292137269695640612,292137269695640612,0,2022-03-09 07:28:38.277525+00:00,2022-03-09 07:28:38.277525+00:00,,1687936108000,1687770328467,
140793,8236278477036202856,292137269695640612,2179141364568694215,1,2022-03-09 07:28:40.680976+00:00,2022-03-09 07:28:40.680976+00:00,,1687936108000,1687770328467,
140793,8236278477036202856,292137269695640612,2289021324049612194,2,2022-03-09 07:28:41.679681+00:00,2022-03-09 07:28:41.679681+00:00,,1687936108000,1687770328467,
